tp; ufdatalist
origin; [[0, 2, 4, 6, 8], [1, 3, 5, 7, 9], [4, 6, 8, 10, 12], [9, 11, 13, 15, 17], [16, 18, 20, 22, 24], [25, 27, 29, 31, 33], [36, 38, 40, 42, 44], [49, 51, 53, 55, 57], [64, 66, 68, 70, 72], [81, 83, 85, 87, 89]]
eachlength; [5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
tbe; 0.0
mean; [4.0, 5.0, 8.0, 13.0, 20.0, 29.0, 40.0, 53.0, 68.0, 85.0]
vrc; [4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445, 4.444444444444445]
stdv; [2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197, 2.1081851067789197]
SE; [0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667]
uf; [4.0+/-0.6666666666666667, 5.0+/-0.6666666666666667, 8.0+/-0.6666666666666667, 13.0+/-0.6666666666666667, 20.0+/-0.6666666666666667, 29.0+/-0.6666666666666667, 40.0+/-0.6666666666666667, 53.0+/-0.6666666666666667, 68.0+/-0.6666666666666667, 85.0+/-0.6666666666666667]
length; 10
varname; A
Last fixed time : 2021-10-14 14;55;26
